_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,at_least_how_many_bicycles_are_loaded_on_the_bus,nobus,route,vehicle,at_least_how_many_bicycles_are_loaded_on_the_bus_gold,image,nobus_gold,route_gold,vehicle_gold
692698262,3/22/2015 0:07,FALSE,1595544414,,3/22/2015 0:03,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,1,FALSE,48,,,G0220772,,,
692698262,3/22/2015 0:08,FALSE,1595544666,,3/22/2015 0:05,TRUE,elite,1,30087800,BIH,1,Sarajevo,77.78.221.140,1,FALSE,48,,,G0220772,,,
692698262,3/22/2015 0:09,FALSE,1595545135,,3/22/2015 0:07,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,1,FALSE,48,,,G0220772,,,
692698262,3/22/2015 0:13,FALSE,1595546514,,3/22/2015 0:09,TRUE,clixsense,1,31565527,TUR,34,Istanbul,78.180.132.247,1,FALSE,48,,,G0220772,,,
692698263,3/22/2015 0:02,TRUE,1595542059,,3/22/2015 0:00,TRUE,clixsense,1,17011887,PRT,14,Lisbon,95.95.162.209,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:03,TRUE,1595542792,,3/22/2015 0:00,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:04,TRUE,1595543126,,3/22/2015 0:03,TRUE,clixsense,1,31613805,BIH,,,31.223.135.77,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:05,TRUE,1595543224,,3/22/2015 0:00,TRUE,clixsense,1,30711020,PRT,10,Machico,89.109.93.83,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:06,TRUE,1595544040,,3/22/2015 0:04,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:07,TRUE,1595544205,,3/22/2015 0:00,TRUE,neodev,1,30997957,SRB,,,91.148.96.31,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:07,TRUE,1595544431,,3/22/2015 0:05,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692698263,3/22/2015 0:14,TRUE,1595546803,,3/22/2015 0:09,TRUE,elite,1,31858799,TUR,34,Istanbul,88.233.30.142,1,FALSE,48,2675,1,G0220775,FALSE,48,2675
692700852,3/22/2015 0:06,FALSE,1595543911,,3/22/2015 0:00,TRUE,clixsense,1,27423910,PHL,F2,Quezon City,180.191.219.81,1,FALSE,48,2675,,G0220775,,,
692700852,3/22/2015 0:08,FALSE,1595544833,,3/22/2015 0:07,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,1,FALSE,48,2675,,G0220775,,,
692700852,3/22/2015 0:11,FALSE,1595545593,,3/22/2015 0:08,TRUE,neodev,1,31167780,COL,2,Medellín,200.24.16.87,1,FALSE,48,2675,,G0220775,,,
692700852,3/22/2015 0:12,FALSE,1595546115,,3/22/2015 0:11,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,1,FALSE,48,2675,,G0220775,,,
692698290,3/22/2015 0:03,FALSE,1595542424,,3/22/2015 0:00,TRUE,clixsense,1,9834199,ROU,14,Constanta,79.116.42.83,1,FALSE,48,2675,,G0220776,,,
692698290,3/22/2015 0:06,FALSE,1595543742,,3/22/2015 0:00,TRUE,clixsense,1,30959343,DOM,5,Santo Domingo,190.167.0.229,1,FALSE,48,2675,,G0220776,,,
692698290,3/22/2015 0:07,FALSE,1595544521,,3/22/2015 0:06,TRUE,clixsense,1,31336178,BIH,,,31.223.156.242,1,FALSE,48,2675,,G0220776,,,
692698290,3/22/2015 0:09,FALSE,1595545121,,3/22/2015 0:07,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,1,FALSE,48,2675,,G0220776,,,
692698290,3/22/2015 0:14,FALSE,1595546882,,3/22/2015 0:12,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,1,FALSE,48,2675,,G0220776,,,
692698290,3/22/2015 0:14,FALSE,1595546980,,3/22/2015 0:03,TRUE,clixsense,1,12999102,RUS,6,Severodvinsk,176.222.196.167,1,FALSE,48,2675,,G0220776,,,
692698267,3/22/2015 0:05,FALSE,1595543215,,3/22/2015 0:00,TRUE,clixsense,1,30711020,PRT,10,Machico,89.109.93.83,1,FALSE,48,2675,,G0220777,,,
692698267,3/22/2015 0:08,FALSE,1595544789,,3/22/2015 0:00,TRUE,elite,1,31858799,TUR,34,Istanbul,88.233.30.142,1,FALSE,48,2675,,G0220777,,,
692698267,3/22/2015 0:14,FALSE,1595546776,,3/22/2015 0:08,TRUE,clixsense,1,6334396,IDN,4,Jakarta,112.215.64.18,1,FALSE,48,2675,,G0220777,,,
692698279,3/22/2015 0:02,FALSE,1595542058,,3/22/2015 0:00,TRUE,clixsense,1,17011887,PRT,14,Lisbon,95.95.162.209,0,FALSE,NA,4125,,G0240788,,,
692698279,3/22/2015 0:03,FALSE,1595542611,,3/22/2015 0:02,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,0,FALSE,NA,4125,,G0240788,,,
692698279,3/22/2015 0:04,FALSE,1595543127,,3/22/2015 0:03,TRUE,clixsense,1,31613805,BIH,,,31.223.135.77,0,FALSE,NA,4125,,G0240788,,,
692698279,3/22/2015 0:06,FALSE,1595543877,,3/22/2015 0:04,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,0,FALSE,NA,4125,,G0240788,,,
692698272,3/22/2015 0:07,FALSE,1595544544,,3/22/2015 0:02,TRUE,neodev,1,28315076,VEN,,,190.206.88.164,0,FALSE,NA,9091,,G0250799,,,
692698272,3/22/2015 0:09,FALSE,1595544943,,3/22/2015 0:00,TRUE,neodev,1,31969790,MUS,17,Floréal,197.226.131.31,0,FALSE,NA,9091,,G0250799,,,
692698272,3/22/2015 0:13,FALSE,1595546330,,3/22/2015 0:09,TRUE,clixsense,1,30517365,MAR,,,197.130.175.223,0,FALSE,NA,9091,,G0250799,,,
692698272,3/22/2015 0:13,FALSE,1595546406,,3/22/2015 0:11,TRUE,clixsense,1,30959343,DOM,5,Santo Domingo,190.167.0.229,0,FALSE,NA,,,G0250799,,,
692698277,3/22/2015 0:03,TRUE,1595542783,,3/22/2015 0:00,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,2,FALSE,NA,9536,2,G0270818,FALSE,"NA
542",9536
692698277,3/22/2015 0:09,TRUE,1595545003,,3/22/2015 0:07,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,2,FALSE,NA,9536,2,G0270818,FALSE,"NA
542",9536
692698277,3/22/2015 0:09,TRUE,1595545109,,3/22/2015 0:07,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,2,FALSE,NA,9536,2,G0270818,FALSE,"NA
542",9536
692698277,3/22/2015 0:09,TRUE,1595545136,,3/22/2015 0:07,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,2,FALSE,542,9536,2,G0270818,FALSE,"NA
542",9536
692700567,3/22/2015 0:02,FALSE,1595541983,,3/22/2015 0:00,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,2,FALSE,NA,9536,,G0270818,,,
692700567,3/22/2015 0:06,FALSE,1595543893,,3/22/2015 0:02,TRUE,clixsense,1,21515140,BGR,41,Sevlievo,46.10.97.39,2,FALSE,NA,9536,,G0270818,,,
692700567,3/22/2015 0:07,FALSE,1595544392,,3/22/2015 0:00,TRUE,elite,1,31039900,TUR,17,Çanakkale,176.232.168.35,2,FALSE,NA,9536,,G0270818,,,
692700567,3/22/2015 0:09,FALSE,1595545087,,3/22/2015 0:07,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,2,FALSE,NA,9536,,G0270818,,,
692700567,3/22/2015 0:13,FALSE,1595546337,,3/22/2015 0:09,TRUE,clixsense,1,27423910,PHL,F2,Quezon City,180.191.219.81,2,FALSE,NA,9536,,G0270818,,,
692700567,3/22/2015 0:13,FALSE,1595546636,,3/22/2015 0:07,TRUE,clixsense,0,29711374,PHL,53,Taytay,116.93.58.98,2,FALSE,545,9543,,G0270818,,,
692698266,3/22/2015 0:07,FALSE,1595544208,,3/22/2015 0:00,TRUE,neodev,1,30997957,SRB,,,91.148.96.31,NA,FALSE,NA,,,G0300849,,,
692698266,3/22/2015 0:09,FALSE,1595545001,,3/22/2015 0:07,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,0,FALSE,NA,,,G0300849,,,
692698266,3/22/2015 0:14,FALSE,1595546801,,3/22/2015 0:09,TRUE,elite,1,31858799,TUR,34,Istanbul,88.233.30.142,,TRUE,,,,G0300849,,,
692698292,3/22/2015 0:03,FALSE,1595542440,,3/22/2015 0:00,TRUE,clixsense,1,31336178,BIH,,,31.223.156.242,0,FALSE,542,,,G0310858,,,
692698292,3/22/2015 0:03,FALSE,1595542806,,3/22/2015 0:00,TRUE,neodev,1,21353389,LVA,25,Riga,77.38.251.50,0,FALSE,NA,,,G0310858,,,
692698292,3/22/2015 0:06,FALSE,1595544028,,3/22/2015 0:04,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,0,FALSE,545,,,G0310858,,,
692698292,3/22/2015 0:09,FALSE,1595545033,,3/22/2015 0:03,TRUE,neodev,1,28728128,ARG,,,181.111.23.71,0,FALSE,542,,,G0310858,,,
692698292,3/22/2015 0:11,FALSE,1595545878,,3/22/2015 0:10,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,0,FALSE,NA,,,G0310858,,,
692698292,3/22/2015 0:12,FALSE,1595546090,,3/22/2015 0:09,TRUE,clixsense,1,31505928,BGR,62,Svishtov,77.78.57.16,0,FALSE,NA,,,G0310858,,,
692698292,3/22/2015 0:14,FALSE,1595546775,,3/22/2015 0:12,TRUE,clixsense,1,29549258,TUR,16,Bursa,78.172.1.176,0,FALSE,NA,,,G0310858,,,
692698283,3/22/2015 0:04,FALSE,1595543174,,3/22/2015 0:00,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,3,FALSE,NA,6835,,G0330892,,,
692698278,3/22/2015 0:02,FALSE,1595542111,,3/22/2015 0:00,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,0,FALSE,48,9647,,G0340895,,,
692698278,3/22/2015 0:03,FALSE,1595542796,,3/22/2015 0:00,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,0,FALSE,545,9647K,,G0340895,,,
692698278,3/22/2015 0:05,FALSE,1595543357,,3/22/2015 0:02,TRUE,neodev,0,23786472,IND,2,Tirupati,117.204.56.248,0,FALSE,545,,,G0340895,,,
692698278,3/22/2015 0:07,FALSE,1595544429,,3/22/2015 0:03,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,0,FALSE,545,9647,,G0340895,,,
692698278,3/22/2015 0:08,FALSE,1595544664,,3/22/2015 0:05,TRUE,elite,1,30087800,BIH,1,Sarajevo,77.78.221.140,0,FALSE,545,9647K,,G0340895,,,
692698278,3/22/2015 0:09,FALSE,1595545138,,3/22/2015 0:07,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,0,FALSE,545,9647,,G0340895,,,
692698278,3/22/2015 0:13,FALSE,1595546523,,3/22/2015 0:09,TRUE,clixsense,1,31565527,TUR,34,Istanbul,78.180.132.247,0,FALSE,545,9647,,G0340895,,,
692698281,3/22/2015 0:07,FALSE,1595544420,,3/22/2015 0:05,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,0,FALSE,545,9647,,G0340898,,,
692698281,3/22/2015 0:11,FALSE,1595545662,,3/22/2015 0:07,TRUE,clixsense,1,30376066,SRB,0,Belgrade,178.221.52.166,0,FALSE,545,9647K,,G0340898,,,
692698281,3/22/2015 0:15,FALSE,1595547074,,3/22/2015 0:11,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,0,FALSE,545,9647,,G0340898,,,
692698284,3/22/2015 0:03,FALSE,1595542784,,3/22/2015 0:00,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,1,FALSE,NA,6969,,G0391018,,,
692698284,3/22/2015 0:10,FALSE,1595545513,,3/22/2015 0:03,TRUE,clixsense,1,29549258,TUR,16,Bursa,78.172.1.176,1,FALSE,NA,6969,,G0391018,,,
692698273,3/22/2015 0:02,FALSE,1595542268,,3/22/2015 0:00,TRUE,clixsense,1,31505928,BGR,62,Svishtov,77.78.57.16,1,FALSE,NA,6969,,G0391024,,,
692698273,3/22/2015 0:08,FALSE,1595544848,,3/22/2015 0:03,TRUE,neodev,1,31167780,COL,2,Medellín,200.24.16.87,1,FALSE,NA,6969,,G0391024,,,
692698273,3/22/2015 0:13,FALSE,1595546368,,3/22/2015 0:09,TRUE,neodev,1,28315076,VEN,,,190.206.88.164,1,FALSE,NA,6969,,G0391024,,,
692698273,3/22/2015 0:14,FALSE,1595547065,,3/22/2015 0:13,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,1,FALSE,NA,6969,,G0391024,,,
